Unnamed: 0,Primary Dealer,Start Date,End Date,RSSD ID,gvkey-V1,Holding_Company_RSSD_ID,holding_company_name,Permco,gvkey,linkdt,linkenddt
153,COUNTRYWIDE SECURITIES CORPORATION,2004-01-15,2008-07-15 00:00:00.000000,3033102.0,8299.0,3033072.0,,,,,
154,CREDIT SUISSE SECURITIES (USA) LLC,2006-01-16,2025-03-10 18:23:01.663441,3171527.0,30219.0,2983778.0,CREDIT SUISSE (USA) LLC,,,,
155,CANTOR FITZGERALD & CO.,2006-08-01,2025-03-10 18:23:01.663441,2400891.0,,,,,,,
156,DRESDNER KLEINWORT SECURITIES LLC,2006-09-18,2009-06-26 00:00:00.000000,2630577.0,,1242414.0,COMMERZBANK AKTIENGESELLSCHAFT,,,,
157,RBS SECURITIES INC.,2009-04-01,2025-03-10 18:23:01.663441,1851106.0,,2323673.0,,,,,
158,"JEFFERIES & COMPANY, INC.",2009-06-18,2013-03-01 00:00:00.000000,2046020.0,12673.0,,,,,,
159,RBC CAPITAL MARKETS CORPORATION,2009-07-08,2010-11-01 00:00:00.000000,1663569.0,12673.0,,,,,,
160,"NOMURA SECURITIES INTERNATIONAL,INC",2009-07-27,2025-03-10 18:23:01.663441,1445345.0,12673.0,3877520.0,"NOMURA HOLDINGS, INC.",,,,
161,DAIWA CAPITAL MARKETS AMERICA INC.,2010-04-01,2025-03-10 18:23:01.663441,1607237.0,2029.0,3919345.0,DAIWA SECURITIES GROUP INC. (JAPAN),,,,
162,J.P. MORGAN SECURITIES LLC,2010-09-01,2025-03-10 18:23:01.663441,1155420.0,15582.0,2881472.0,J.P. MORGAN BROKER-DEALER HOLDINGS INC.,,,,
163,"MERRILL LYNCH, PIERCE, FENNER & SMITH INCORPORATED",2010-11-01,2025-03-10 18:23:01.663441,2038119.0,7647.0,1246140.0,,,,,
164,"RBC CAPITAL MARKETS, LLC",2010-11-01,2025-03-10 18:23:01.663441,1599109.0,2014.0,3226762.0,RBC USA HOLDCO CORPORATION,,,,
165,MF GLOBAL INC.,2011-02-02,2011-10-31 00:00:00.000000,4236731.0,2014.0,,,,,,
166,"SG AMERICAS SECURITIES, LLC",2011-02-02,2025-03-10 18:23:01.663441,3266768.0,2968.0,3237759.0,"SG AMERICAS SECURITIES HOLDINGS, LLC",,,,
167,MORGAN STANLEY & CO. LLC,2011-05-31,2025-03-10 18:23:01.663441,1573239.0,1494.0,3820272.0,"MORGAN STANLEY DOMESTIC HOLDINGS, LLC",,,,
168,"BANK OF NOVA SCOTIA, NEW YORK AGENCY",2011-10-04,2025-03-10 18:23:01.663441,5783335.0,7647.0,,,,,,
169,BMO CAPITAL MARKETS CORP. ,2011-10-04,2025-03-10 18:23:01.663441,3206401.0,,1245415.0,BMO FINANCIAL CORP.,,,,
170,JEFFERIES LLC,2013-03-01,2025-03-10 18:23:01.663441,2046020.0,,,,,,,
171,TD SECURITIES (USA) LLC,2014-02-11,2025-03-10 18:23:01.663441,1839588.0,320764.0,1378957.0,"TORONTO DOMINION HOLDINGS (U.S.A.), INC.",,,,
